id,review_text,reviewer_id,reviewer_name,source_name,source_review_id,star_rating
106115.0,My cat's really liked this food..,amzn1.account.AFHSUEUHJYIJG5525MZDURVSY6HQ,Farhan Siddiqui,Amazon India,R2CT77KCFWDPCI,5.0 out of 5 stars
106116.0,My cat is happy and so am i,amzn1.account.AFG2NOYVBKBDQNQTXHNSW226Y5AQ,rahul ravi sharma,Amazon India,R15F7XIO3VXBN9,5.0 out of 5 stars
106117.0,This is most favorite of my pet cat. Became main food.,amzn1.account.AG5HH6YJ3ZFGAWG2ONSOTH42PJSQ,Pranab Kumar Shyam,Amazon India,R36CKSBBH0MPCB,5.0 out of 5 stars
106118.0,"Convenient, although too much will make your cat sick.",amzn1.account.AHJVHT2ZC63OSDPEHYA7TXCI5CGQ,Lemon,Amazon India,R150A8124ASGQW,3.0 out of 5 stars
106119.0,"You should pack carefully. When the product reached me it was not even 2kg.. such a waste.Very disappointed,  this is not the first time it happen.Am never buying again.",amzn1.account.AGJL4AZQ2AUVT2JJV46RVAPJCY2Q,Amazon Customer,Amazon India,R1UDOOPTW9QQSU,2.0 out of 5 stars
106120.0,My cat loved this dry cat meal,amzn1.account.AGNSFSB243B5OGMK5TWGMV34ZFEA,bhavna rajoria,Amazon India,R3FCK9Q47PC6RI,5.0 out of 5 stars
106121.0,best product all persian cats love to have this food and really enjoy eating it...,amzn1.account.AEGAAATCH77UIVZ6WUKGQ7PPSA4A,Amazon Customer,Amazon India,R2C197NPKOOPZU,5.0 out of 5 stars
106122.0,Very poor. The product didn't reach me,amzn1.account.AG7CCHCVG62FF5CRY37CEMHHJHTQ,Chandrani Dutta,Amazon India,R7TU56UZZIZP7,1.0 out of 5 stars
106123.0,Delivered on time. If my cats could write the review then they would give it a big MEOW ! They love all Whiskas products.,amzn1.account.AFB54VQTWYUCUXBELS4ULGRFIDKA,Madhvi Chari,Amazon India,R214YQ1VKABELS,5.0 out of 5 stars
106124.0,"Cats enjoy their meal. Give 2 fist full of this to per cat at 1 time . Morning n night/afternoon.  Try keeping the bowl/dish at a height so that only cats eat not any stay hungry dog.  Dog spoil it cat with wet food, only as a treat. A cat will always prefer wet than dry food But everyday wet.all.the time is costly affair.",amzn1.account.AF5OEWMXUJ2VCGAE2V75FZLRUQEQ,harmeet singh chawla,Amazon India,R1JUEVVCL9DN5V,5.0 out of 5 stars
